"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"No More Lies","WU","U","145955","5.75","20436","8.25","56550","45.8%","55.1%","9594","57.4%","14662","54.5%","24256","55.7%","32247","54.7%","1.0pp"
"Officious Interrogation","WU","R","54635","4.68","8061","6.75","15172","31.7%","50.9%","2368","45.9%","4110","50.8%","6478","49.0%","8684","52.2%","-3.2pp"
"Private Eye","WU","U","85500","3.52","23838","4.01","112900","77.1%","56.2%","19389","59.2%","30203","58.5%","49592","58.7%","63223","54.1%","4.7pp"
"Rakdos, Patron of Chaos","BR","M","6865","1.38","5003","1.34","27742","90.2%","55.3%","4549","58.1%","7449","62.2%","11998","60.7%","15493","51.1%","9.6pp"
"Rakish Scoundrel","BG","C","400125","6.71","48383","9.99","85664","29.6%","51.9%","14123","50.9%","20524","52.3%","34647","51.7%","50891","51.9%","-0.2pp"
"Relive the Past","WG","R","61318","5.26","8619","7.86","5593","10.8%","49.3%","845","44.3%","1471","50.0%","2316","47.9%","3259","50.2%","-2.3pp"
"Repulsive Mutation","UG","U","118879","4.68","30345","5.64","132405","71.2%","56.5%","21356","57.5%","36385","61.2%","57741","59.8%","74496","53.9%","5.9pp"
"Riftburst Hellion","RG","C","372237","5.70","55152","8.43","198962","59.6%","53.7%","33368","52.2%","48321","54.6%","81689","53.6%","116958","53.9%","-0.3pp"
"Rune-Brand Juggler","BR","U","139039","5.57","18817","7.88","52268","46.3%","53.7%","9056","55.8%","12985","54.3%","22041","54.9%","30163","52.8%","2.1pp"
"Sanguine Savior","WB","C","334526","4.94","50994","7.16","210064","68.0%","54.3%","36277","53.3%","50719","54.7%","86996","54.1%","122823","54.5%","-0.3pp"
"Shady Informant","BR","C","399228","6.64","48598","9.84","101761","35.0%","52.1%","17244","50.5%","24437","52.6%","41681","51.7%","59983","52.4%","-0.7pp"
"Soul Search","WB","U","161590","6.94","17662","10.51","15534","14.7%","52.7%","2537","52.0%","3818","51.4%","6355","51.6%","9149","53.4%","-1.8pp"
"Sumala Sentry","WG","U","108116","4.27","25014","5.31","110147","72.0%","56.1%","19235","58.2%","25503","55.7%","44738","56.8%","65380","55.7%","1.1pp"
"Teysa, Opulent Oligarch","WB","R","17615","1.79","10379","1.75","54547","85.7%","55.8%","9309","62.2%","14206","61.0%","23515","61.5%","30777","51.5%","10.0pp"
"Tin Street Gossip","RG","U","126622","5.08","20367","6.94","68458","56.2%","53.3%","11511","53.9%","16394","53.7%","27905","53.7%","40451","53.1%","0.7pp"
"Tolsimir, Midnight's Light","WG","R","18486","1.88","11431","1.82","60799","85.3%","57.6%","10208","63.7%","15286","63.3%","25494","63.5%","34918","53.3%","10.2pp"
"Treacherous Greed","WB","R","47202","4.19","7088","5.88","16355","39.0%","52.0%","2616","51.7%","4221","53.5%","6837","52.8%","9469","51.3%","1.5pp"
"Trostani, Three Whispers","WG","M","7978","1.61","5335","1.57","28557","87.2%","56.1%","5001","59.6%","7054","61.0%","12055","60.4%","16376","52.9%","7.5pp"
"Urgent Necropsy","BG","M","17397","3.24","4617","3.73","18175","65.6%","54.7%","2915","54.8%","4885","61.7%","7800","59.1%","10310","51.3%","7.8pp"
"Vannifar, Evolved Enigma","UG","M","8295","1.69","5504","1.64","30235","89.6%","55.9%","5251","63.2%","8213","59.9%","13464","61.2%","16574","51.6%","9.6pp"
"Warleader's Call","WR","R","18112","1.82","10640","1.78","57159","86.6%","57.1%","10016","61.4%","13771","58.6%","23787","59.8%","33025","55.0%","4.8pp"
"Wispdrinker Vampire","WB","U","102989","4.05","19045","5.28","75081","65.9%","53.9%","12430","54.0%","18991","56.6%","31421","55.6%","43483","52.6%","2.9pp"
"Worldsoul's Rage","RG","R","44546","4.01","7797","5.42","23501","50.7%","52.1%","3762","48.2%","5969","56.3%","9731","53.2%","13753","51.3%","1.9pp"
"Yarus, Roar of the Old Gods","RG","R","20028","2.04","9985","2.00","49198","82.2%","54.1%","8366","57.6%","11926","56.4%","20292","56.9%","28715","52.2%","4.7pp"
"Cease // Desist","WBG","U","158947","6.25","20463","9.32","32759","26.7%","53.0%","5596","52.2%","8184","55.4%","13780","54.1%","18912","52.1%","2.0pp"
"Flotsam // Jetsam","UBG","U","146606","5.62","20306","8.19","49185","40.8%","51.0%","8256","46.7%","13329","52.6%","21585","50.4%","27455","51.5%","-1.1pp"
"Fuss // Bother","WUR","U","97371","3.51","29879","4.33","163148","87.8%","57.4%","25353","57.0%","40773","59.7%","66126","58.7%","96924","56.5%","2.1pp"
"Hustle // Bustle","URG","U","151040","5.73","22253","8.34","52749","39.6%","53.1%","7955","49.5%","12806","53.1%","20761","51.7%","31975","54.0%","-2.3pp"
"Push // Pull","WBR","U","85765","3.14","20282","4.02","105936","86.3%","54.6%","17806","52.4%","26851","57.3%","44657","55.3%","60957","54.1%","1.2pp"
"Cryptex","","R","63955","5.33","7966","8.19","8415","17.6%","50.1%","1403","48.5%","2194","53.0%","3597","51.2%","4800","49.2%","2.0pp"
"Gravestone Strider","","C","376663","5.73","65577","7.97","258965","65.5%","53.5%","47639","53.5%","63843","53.3%","111482","53.4%","147309","53.7%","-0.3pp"
"Lumbering Laundry","","U","171667","7.35","19622","10.99","11799","9.9%","53.0%","1995","49.7%","2810","52.1%","4805","51.1%","6987","54.3%","-3.2pp"
"Magnetic Snuffler","","U","166035","6.92","18500","10.46","13703","12.4%","49.1%","2075","45.7%","3579","50.3%","5654","48.7%","8042","49.4%","-0.7pp"
"Magnifying Glass","","C","422770","7.70","41098","11.55","22327","9.1%","49.5%","3500","44.7%","5552","48.1%","9052","46.8%","13257","51.3%","-4.5pp"
"Sanitation Automaton","","C","374824","5.50","67949","7.80","299497","72.2%","55.1%","56110","54.7%","71054","53.7%","127164","54.1%","172171","55.8%","-1.7pp"
"Thinking Cap","","C","412313","7.05","50513","10.29","87934","29.0%","53.0%","14981","50.3%","21961","50.5%","36942","50.5%","50919","54.9%","-4.4pp"
"Branch of Vitu-Ghazi","","U","158987","5.95","21453","8.82","68727","53.6%","53.1%","11368","50.7%","16769","53.7%","28137","52.5%","40552","53.5%","-1.0pp"
"Commercial District","","R","44766","3.49","9811","4.69","42529","72.5%","54.3%","7919","56.7%","9713","53.0%","17632","54.7%","23857","53.8%","0.9pp"
"Elegant Parlor","","R","41146","3.19","9516","4.25","45418","79.1%","55.0%","8659","57.6%","10544","53.6%","19203","55.4%","25735","54.7%","0.7pp"
"Escape Tunnel","","C","301417","4.12","73276","5.60","420498","94.0%","55.6%","77780","57.4%","103579","54.6%","181359","55.8%","238827","55.6%","0.2pp"
"Hedge Maze","","R","43998","3.41","10848","4.51","51286","78.1%","54.8%","9531","57.6%","12379","54.2%","21910","55.7%","28287","53.8%","1.9pp"
"Lush Portico","","R","43049","3.31","10441","4.41","49287","77.7%","55.1%","9094","57.1%","11126","54.1%","20220","55.5%","28062","54.7%","0.8pp"
"Meticulous Archive","","R","41669","3.24","9762","4.30","45619","77.8%","54.3%","8542","56.6%","11398","52.9%","19940","54.5%","25107","54.0%","0.5pp"
