"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Reach for the Sky","G","C","137369","7.64","17134","11.07","18623","18.3%","54.7%","2788","54.1%","4308","56.4%","7096","55.5%","11502","54.3%","1.2pp"
"Rise of the Varmints","G","U","44781","5.29","8577","6.97","28252","55.5%","54.1%","4454","50.9%","6706","57.4%","11160","54.8%","17005","53.7%","1.1pp"
"Smuggler's Surprise","G","R","10711","2.97","2820","3.38","12494","74.6%","56.2%","2015","55.9%","2951","59.2%","4966","57.8%","7489","54.9%","3.0pp"
"Snakeskin Veil","G","C","117746","5.54","24375","7.39","116329","78.8%","57.2%","18732","58.1%","26749","58.5%","45481","58.3%","70559","56.4%","1.9pp"
"Spinewoods Armadillo","G","U","23076","2.65","9968","2.98","57890","94.9%","58.0%","10040","60.9%","13661","62.1%","23701","61.6%","33962","55.5%","6.1pp"
"Spinewoods Paladin","G","C","97398","4.34","23908","5.60","132972","91.9%","56.9%","22354","56.7%","31429","59.0%","53783","58.1%","78988","56.1%","1.9pp"
"Stubborn Burrowfiend","G","U","31333","3.59","11523","4.12","64697","91.6%","57.8%","11768","60.4%","14506","57.8%","26274","58.9%","37976","57.0%","2.0pp"
"Throw from the Saddle","G","C","86060","3.92","26547","4.75","152091","92.9%","58.2%","25277","59.2%","35455","61.1%","60732","60.3%","90920","56.7%","3.6pp"
"Trash the Town","G","U","32841","3.71","9666","4.46","52094","88.9%","57.4%","8520","57.1%","12121","60.7%","20641","59.2%","31310","56.2%","3.0pp"
"Tumbleweed Rising","G","C","126218","6.33","20155","8.86","57726","47.9%","56.0%","9395","56.0%","13195","57.3%","22590","56.7%","35013","55.5%","1.2pp"
"Voracious Varmint","G","C","119862","5.57","21672","7.76","98288","75.3%","55.9%","17142","55.5%","22180","55.4%","39322","55.4%","58733","56.1%","-0.7pp"
