"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Kozilek, the Broken Reality","","M","3675","1.45","2329","1.42","12058","86.4%","53.7%","1855","53.2%","3042","58.3%","4897","56.3%","6953","51.5%","4.8pp"
"Kozilek's Command","","R","13136","2.43","4940","2.56","23831","81.6%","55.1%","3721","57.2%","5785","61.2%","9506","59.6%","14304","52.1%","7.5pp"
"Null Elemental Blast","","U","89494","7.67","8694","11.67","3792","7.4%","46.9%","602","45.8%","898","47.7%","1500","46.9%","2294","47.0%","-0.1pp"
"Nulldrifter","U","R","8428","1.58","5218","1.59","28984","93.8%","54.5%","4863","53.7%","7520","58.1%","12383","56.3%","16336","52.9%","3.4pp"
"Twisted Riddlekeeper","U","U","53092","3.74","12998","4.61","65557","85.4%","54.5%","10281","52.2%","17162","58.6%","27443","56.2%","37341","52.8%","3.3pp"
"Ulamog, the Defiler","","M","3805","1.49","2125","1.43","10168","83.3%","51.9%","1571","47.9%","2606","54.0%","4177","51.7%","5782","51.5%","0.2pp"
"Warped Tusker","G","C","180245","4.85","27588","6.88","137769","83.7%","54.9%","23143","53.2%","32070","56.6%","55213","55.2%","80815","54.4%","0.7pp"
"Wastescape Battlemage","UG","U","48297","3.47","13344","4.16","68884","86.0%","55.9%","11513","55.7%","16887","59.8%","28400","58.1%","39238","54.1%","4.0pp"
"Aerie Auxiliary","W","C","160895","4.60","39314","5.56","215839","88.4%","57.8%","35708","59.0%","42922","58.6%","78630","58.7%","136907","57.3%","1.5pp"
"Ajani Fells the Godsire","W","U","54163","4.04","13457","4.78","67834","82.5%","56.9%","10647","56.5%","13870","57.9%","24517","57.3%","42780","56.6%","0.7pp"
"Argent Dais","W","R","32224","5.85","3624","8.97","2805","13.1%","50.6%","463","","602","50.2%","1065","48.5%","1713","51.8%","-3.3pp"
"Charitable Levy","W","U","91117","8.26","9744","12.13","727","1.3%","46.8%","124","","176","","300","","423","",""
