"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Kellan, the Kid","WUG","M","8778","2.99","2399","3.28","8725","62.8%","52.1%","1543","55.0%","2211","56.1%","3754","55.6%","4948","49.4%","6.3pp"
"Kraum, Violent Cacophony","UR","U","66229","4.77","11385","6.13","42946","65.6%","51.0%","7084","52.2%","12206","54.4%","19290","53.6%","23630","48.7%","4.9pp"
"Laughing Jasper Flint","BR","R","11019","1.90","6285","1.87","34309","90.7%","54.6%","5899","58.6%","8637","59.3%","14536","59.0%","19560","51.3%","7.7pp"
"Lazav, Familiar Stranger","UB","U","65534","4.56","13442","5.79","55429","71.4%","51.9%","9480","51.4%","15309","55.0%","24789","53.6%","30516","50.4%","3.3pp"
"Lilah, Undefeated Slickshot","UR","R","26828","4.33","4369","5.69","12138","48.4%","49.7%","2079","51.2%","3440","53.2%","5519","52.4%","6593","47.4%","5.1pp"
"Make Your Own Luck","UG","U","72069","4.95","15811","6.37","61936","66.4%","53.5%","10233","53.6%","15928","56.4%","26161","55.4%","35536","52.1%","3.3pp"
"Malcolm, the Eyes","UR","R","21582","3.58","4777","4.13","18553","67.0%","51.5%","3207","55.9%","5162","55.5%","8369","55.6%","10132","47.8%","7.8pp"
"Marchesa, Dealer of Death","UBR","R","21221","3.49","5532","3.85","20856","65.8%","50.7%","3416","51.0%","5744","54.5%","9160","53.2%","11641","48.7%","4.5pp"
"Miriam, Herd Whisperer","WG","U","53187","3.76","15570","4.25","79990","82.6%","57.8%","13966","61.0%","17807","58.1%","31773","59.4%","48192","56.8%","2.6pp"
"Obeka, Splitter of Seconds","UBR","R","37285","5.81","4108","9.13","758","3.2%","38.3%","111","","201","","312","","447","",""
"Oko, the Ringleader","UG","M","3905","1.31","2964","1.29","15932","90.9%","54.5%","2704","57.4%","4039","59.6%","6743","58.7%","9104","51.2%","7.5pp"
"Pillage the Bog","BG","R","31610","4.76","5550","6.59","15912","48.7%","54.3%","2692","52.5%","3906","58.4%","6598","56.0%","9263","53.0%","3.0pp"
"Rakdos Joins Up","BR","R","22782","3.65","4103","4.60","13890","58.2%","52.6%","2198","50.6%","3360","55.5%","5558","53.6%","8264","51.8%","1.8pp"
"Rakdos, the Muscle","BR","M","4632","1.63","2972","1.59","16659","91.2%","56.3%","2786","62.4%","4326","64.3%","7112","63.6%","9357","50.2%","13.3pp"
"Riku of Many Paths","URG","R","33571","5.17","4537","7.64","4357","16.6%","47.5%","730","45.6%","1192","51.2%","1922","49.1%","2429","46.4%","2.7pp"
"Roxanne, Starfall Savant","RG","R","9960","1.69","6819","1.65","39261","92.5%","57.5%","6633","63.8%","9487","64.2%","16120","64.0%","22863","52.9%","11.1pp"
"Ruthless Lawbringer","WB","U","70713","4.89","14345","6.26","58011","67.4%","56.0%","9563","56.8%","14485","60.1%","24048","58.8%","33857","54.1%","4.7pp"
"Satoru, the Infiltrator","UB","R","22708","3.71","5035","4.44","16976","58.7%","51.0%","2884","51.8%","4614","55.0%","7498","53.8%","9432","48.6%","5.2pp"
"Selvala, Eager Trailblazer","WG","M","4398","1.50","3203","1.49","18194","92.2%","56.6%","3147","63.3%","4326","61.3%","7473","62.1%","10690","52.9%","9.3pp"
"Seraphic Steed","WG","R","12010","2.12","6490","2.11","36110","89.4%","58.2%","6440","66.6%","8245","61.0%","14685","63.4%","20868","54.4%","9.0pp"
"Slick Sequence","UR","U","76965","5.56","11643","7.52","39324","58.1%","51.5%","6601","52.4%","11162","56.8%","17763","55.2%","21434","48.3%","6.9pp"
"Taii Wakeen, Perfect Shot","WR","R","27808","4.40","4550","5.90","12499","46.9%","52.5%","2183","52.9%","2716","51.5%","4899","52.1%","7608","52.7%","-0.6pp"
"Vial Smasher, Gleeful Grenadier","BR","U","62616","4.49","10752","5.82","44615","71.3%","52.1%","7620","55.8%","10715","53.0%","18335","54.2%","26258","50.7%","3.5pp"
"Vraska Joins Up","BG","R","34766","5.44","3988","8.50","2266","9.7%","45.5%","330","","537","46.7%","867","42.9%","1392","47.1%","-4.2pp"
"Vraska, the Silencer","BG","M","6429","2.20","2695","2.28","12431","79.3%","53.2%","2166","52.7%","3049","56.9%","5215","55.1%","7165","51.6%","3.5pp"
"Wrangler of the Damned","WU","U","69761","5.00","11453","6.66","39006","59.8%","49.8%","6379","48.4%","10475","52.3%","16854","50.8%","22122","49.0%","1.8pp"
"Wylie Duke, Atiin Hero","WG","R","14676","2.46","6289","2.49","32470","84.9%","57.1%","5703","59.7%","7354","60.5%","13057","60.1%","19383","55.0%","5.1pp"
"Bandit's Haul","","U","84626","5.77","12943","7.98","42239","55.6%","53.0%","7746","53.1%","10796","53.4%","18542","53.3%","23643","52.7%","0.5pp"
"Boom Box","","U","98690","7.74","10710","11.48","4382","6.9%","51.3%","698","46.3%","1091","53.7%","1789","50.8%","2579","51.6%","-0.8pp"
"Gold Pan","","C","238927","7.60","29568","10.98","38082","21.7%","52.6%","6864","54.0%","8608","51.5%","15472","52.6%","22493","52.5%","0.1pp"
"Lavaspur Boots","","U","94979","7.22","9395","11.05","7229","13.0%","53.0%","1191","51.2%","1606","50.9%","2797","51.0%","4428","54.2%","-3.2pp"
"Luxurious Locomotive","","U","95533","7.16","10686","10.70","11168","17.6%","50.8%","1731","48.2%","2673","50.0%","4404","49.3%","6768","51.8%","-2.5pp"
"Mobile Homestead","","U","76632","4.97","14071","6.79","59366","69.7%","55.8%","10648","58.9%","13177","53.8%","23825","56.1%","35502","55.6%","0.6pp"
"Oasis Gardener","","C","223888","6.38","30843","9.27","94661","51.8%","53.3%","17053","53.2%","22702","54.3%","39755","53.8%","54692","52.8%","1.0pp"
"Redrock Sentinel","","U","96069","7.09","13846","10.04","31852","38.6%","54.0%","5502","53.0%","7919","56.1%","13421","54.8%","18372","53.4%","1.5pp"
"Silver Deputy","","C","229619","6.75","30413","9.80","78976","44.4%","51.4%","14924","48.8%","18302","50.7%","33226","49.9%","45579","52.5%","-2.6pp"
"Sterling Hound","","C","240905","7.82","32800","11.06","52040","26.7%","53.5%","9215","52.5%","12483","54.0%","21698","53.3%","30263","53.6%","-0.3pp"
"Tomb Trawler","","U","100936","8.41","12435","11.89","5532","7.6%","50.1%","948","46.0%","1456","49.2%","2404","48.0%","3106","51.6%","-3.7pp"
